Genome	Group
C_Plut_88864	Symbiotic
C_Plut_88879	Symbiotic
C_Plut_88880	Symbiotic
C_Plut_88885	Symbiotic
C_Plut_88888	Symbiotic
C_Plut_88891	Symbiotic
FW_erpe_2018_pw_24hr_WHONDRS_PP48_000093_B_bin_7	Free-living
FW_erpe_2018_pw_6hr_WHONDRS_PP48_000087_B_bin_3	Free-living
FW_K_DeepCast_300m_m1_220	Free-living
FW_M_DeepCast_200m_m2_052	Free-living
FW_M_DeepCast_65m_m2_014	Free-living
FW_NC_groundwater_52_Pr7_S2p5_51_20	Free-living
S_277c_40	Symbiotic
S_277c_41	Symbiotic
S_277c_42	Symbiotic
S_AC3_bin_28	Symbiotic
S_APA_bin_37	Symbiotic
S_APA_bin_83	Symbiotic
S_APA_kamkeHentschel_GCA_000372285_1_genomic	Symbiotic
S_APA_kamkeHentschel_GCA_000406005_1_genomic	Symbiotic
S_IRC1_bin_11	Symbiotic
S_IRC3_bin_30	Symbiotic
S_IRC4_bin_14	Symbiotic
S_IRC4_bin_27	Symbiotic
S_jaMicLord3_Poribacteria_1_1	Symbiotic
S_jk18x1bzbins_18	Symbiotic
S_jk18x1bzbins_25	Symbiotic
S_jk18x1bzbins_36	Symbiotic
S_jk18x1bzbins_72	Symbiotic
S_jk18x1bzbins_78	Symbiotic
S_jk18x22bins_76	Symbiotic
S_jk18x25bins_18	Symbiotic
S_jk18x27bins_53	Symbiotic
S_jk18x34bins_64	Symbiotic
S_jk18x7bins_36	Symbiotic
S_jk18x7bins_5	Symbiotic
S_jk18x9bins_65	Symbiotic
S_jk18x9bins_85	Symbiotic
S_jk18xAbins_19	Symbiotic
S_jk18xAbins_25	Symbiotic
S_jk18xAbins_50	Symbiotic
S_Langseth_MAG_00044	Symbiotic
S_Langseth_MAG_00056	Symbiotic
S_Langseth_MAG_00058	Symbiotic
S_Langseth_MAG_00066	Symbiotic
S_Langseth_MAG_00079	Symbiotic
S_M_bin_45	Symbiotic
S_M_bin_52	Symbiotic
S_MELS_podellAllen_GCA_GCA_003635315_1_ASM363531v1_genomic	Symbiotic
S_odAgeTubu1_Poribacteria_3_1	Symbiotic
S_odAioCras1_Poribacteria_1_1	Symbiotic
S_odAioCras1_Poribacteria_2_1	Symbiotic
S_odAioCras1_Poribacteria_3_1	Symbiotic
S_odAioCras1_Poribacteria_5_1	Symbiotic
S_odAioCras1_Poribacteria_6_1	Symbiotic
S_odAplAero1_Candidatus_Poribacteria_1_1	Symbiotic
S_odAplAero1_Candidatus_Poribacteria_2_1	Symbiotic
S_odAplInsu1_Poribacteria_3_1	Symbiotic
S_odAplInsu1_Poribacteria_4_1	Symbiotic
S_odChoAust1_Poribacteria_1_1	Symbiotic
S_odChoCari5_Poribacteria_1_2	Symbiotic
S_odCinKuek1_Poribacteria_1_1	Symbiotic
S_odCinKuek1_Poribacteria_2_1	Symbiotic
S_odDiaEryt1_Poribacteria_3_1	Symbiotic
S_odGeoParv2_Candidatus_Poribacteria_1_2	Symbiotic
S_odPacOvis1_Poribacteria_1_1	Symbiotic
S_odPacOvis1_Poribacteria_4_1	Symbiotic
S_odPacOvis1_Poribacteria_5_1	Symbiotic
S_odPacOvis1_Poribacteria_7_1	Symbiotic
S_odPacOvis1_Poribacteria_8_1	Symbiotic
S_odRhaGlob2_Poribacteria_2_1	Symbiotic
S_odRhaGlob2_Poribacteria_4_1	Symbiotic
S_odRhaGlob2_Poribacteria_5_1	Symbiotic
S_odRhaGlob2_Poribacteria_6_1	Symbiotic
S_odRhoOdor1_Poribacteria_1_1	Symbiotic
S_odRhoOdor1_Poribacteria_10_1	Symbiotic
S_odRhoOdor1_Poribacteria_11_1	Symbiotic
S_odRhoOdor1_Poribacteria_12_1	Symbiotic
S_odRhoOdor1_Poribacteria_2_1	Symbiotic
S_odRhoOdor1_Poribacteria_3_1	Symbiotic
S_odRhoOdor1_Poribacteria_5_1	Symbiotic
S_odRhoOdor1_Poribacteria_6_1	Symbiotic
S_odRhoOdor1_Poribacteria_9_1	Symbiotic
S_odSarFasc1_Poribacteria_1_1	Symbiotic
S_odSarFasc1_Poribacteria_2_1	Symbiotic
S_odSpoOffi1_Poribacteria_3_1	Symbiotic
S_odSpoOffi2_Candidatus_Poribacteria_1_1	Symbiotic
S_odSpoOffi2_Candidatus_Poribacteria_2_2	Symbiotic
S_odSpoOffi2_Candidatus_Poribacteria_3_2	Symbiotic
